ID,NOMBRE,PROVINCIA,TIPO,ELEV,LAT,LONG,FECHA_INI,FECHA_FIN,OPERADA,LATDD,LONDD,STATUS,URL,UTM_X,UTM_Y,x,y
100-129,Chuchupate (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 25' 00""","82° 50' 00""","12/31/1956, 7:00 PM",1/12/1963,Chiriqui Land Company,8.41666666667,-82.8333333333, , ,298145.3995,930834.284499999,298145.3995000003,930834.2844999991
100-130,María (Pto Armuelles),Chiriquí,Tipo C Convencional,11,"8° 25' 00""","82° 51' 00""","12/31/1957, 7:00 PM",1/12/1964,Chiriqui Land Company,8.41666666667,-82.85, , ,296309.7457,930842.923900001,296309.74569999985,930842.9239000008
100-131,Quira (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 26' 00""","82° 51' 00""","12/31/1957, 7:00 PM",1/12/1965,Chiriqui Land Company,8.43333333333,-82.85, , ,296318.4699,932686.4143,296318.4698999999,932686.4143000003
100-132,Jobito (Pto Armuelles),Chiriquí,Tipo C Convencional,11,"8° 23' 00""","82° 51' 00""","12/31/1945, 7:00 PM",31/12/1972,Chiriqui Land Company,8.38333333333,-82.85, , ,296292.3488,927155.9473,296292.3487999998,927155.9473000001
100-133,Limones 1,Chiriquí,Tipo C Convencional,15,"8° 06' 00""","82° 52' 00""","1/11/1970, 7:00 PM",1/3/2000,E.T.E.S.A.,8.1,-82.8666666667, ,http://www.hidromet.com.pa/red_nacional.php,294310.1068,895825.266899999,294310.1068000002,895825.2668999992
100-134,Lima,Chiriquí,Tipo C Convencional,3,"8° 21' 00""","82° 46' 00""","12/31/1960, 7:00 PM",1/12/1965,Chiriqui Land Company,8.35,-82.7666666667, , ,305454.6927,923426.8884,305454.69269999955,923426.8883999996
100-135,El Jazmín,Chiriquí,Tipo B Convencional,10,"8° 21' 00""","82° 34' 00""","1/10/1982, 7:00 PM",1/8/2001,Chiriqui Land Company,8.35,-82.5666666667, , ,327484.3217,923333.8024,327484.3217000002,923333.8024000004
100-136,Burica Centro,Chiriquí,Tipo B Convencional,30,"8° 23' 00""","82° 54' 00""","1/10/1982, 7:00 PM",22/08/1997,E.T.E.S.A.,8.38333333333,-82.9, ,http://www.hidromet.com.pa/red_nacional.php,290784.8162,927182.233999999,290784.81620000023,927182.2339999992
100-138,Limones 2,Chiriquí,Tipo A Automática,50,"8° 06' 17""","82° 52' 05""",, ,E.T.E.S.A.,8.10472222222,-82.8680555556, ,http://www.hidromet.com.pa/red_nacional.php,294159.4124,896348.290100001,294159.4123999998,896348.2901000008
102-001,Cerro Punta,Chiriquí,Tipo C Convencional,1830,"8° 52' 00""","82° 35' 00""","1/8/1962, 7:00 PM", ,E.T.E.S.A.,8.86666666667,-82.5833333333, ,http://www.hidromet.com.pa/red_nacional.php,325885.0128,980482.1556,325885.0127999997,980482.1556000002
102-002,Nueva California,Chiriquí,Tipo C Convencional,1400,"8° 47' 00""","82° 39' 00""","1/7/1958, 7:00 PM",1/8/1994,E.T.E.S.A.,8.78333333333,-82.65, ,http://www.hidromet.com.pa/red_nacional.php,318511.2193,971297.375800001,318511.2193,971297.3758000005
102-003,Bambito,Chiriquí,Tipo C Convencional,1700,"8° 50' 00""","82° 37' 00""","12/31/1957, 7:00 PM",1/9/1971,E.T.E.S.A.,8.83333333333,-82.6166666667, ,http://www.hidromet.com.pa/red_nacional.php,322202.5027,976811.3233,322202.50270000007,976811.3233000003
102-004,Cerro Punta (F.M),Chiriquí,Tipo C Convencional,1540,"8° 49' 00""","82° 38' 00""","12/31/1945, 7:00 PM",1/12/1960,E.T.E.S.A.,8.81666666667,-82.6333333333, ,http://www.hidromet.com.pa/red_nacional.php,320361.0009,974975.9891,320361.00090000033,974975.9890999999
102-005,Divalá,Chiriquí,Tipo C Convencional,8,"8° 25' 00""","82° 43' 00""","1/7/1968, 7:00 PM",1/12/1998,E.T.E.S.A.,8.41666666667,-82.7166666667, ,http://www.hidromet.com.pa/red_nacional.php,310994.523,930776.001,310994.52300000004,930776.0010000002
102-006,Divalá (vieja) 1,Chiriquí,Tipo C Convencional,60,"8° 26' 00""","82° 43' 00""","12/31/1920, 7:00 PM",1/12/1926,E.T.E.S.A.,8.43333333333,-82.7166666667, ,http://www.hidromet.com.pa/red_nacional.php,311002.6174,932619.3627,311002.6173999999,932619.3627000004
102-007,Caisán Centro,Chiriquí,Tipo A Automática,1150,"8° 46' 00""","82° 44' 00""","12/31/1970, 7:00 PM",31/10/1998,E.T.E.S.A.,8.76666666667,-82.7333333333, ,http://www.hidromet.com.pa/red_nacional.php,309333.9889,969495.3171,309333.98890000023,969495.3170999996
102-008,Jacú,Chiriquí,Tipo C Convencional,30,"8° 29' 00""","82° 48' 00""","12/31/1970, 7:00 PM",1/12/1998,E.T.E.S.A.,8.48333333333,-82.8, ,http://www.hidromet.com.pa/red_nacional.php,301850.7098,938191.0131,301850.7098000003,938191.0131000001
102-009,Bajo Grande,Chiriquí,Tipo B Convencional,2300,"8° 51' 00""","82° 33' 00""","1/4/1971, 7:00 PM", ,E.T.E.S.A.,8.85,-82.55, ,http://www.hidromet.com.pa/red_nacional.php,329543.7777,978623.4461,329543.77770000044,978623.4461000003
102-010,Corotu,Chiriquí,Tipo C Convencional,6,"8° 22' 00""","82° 47' 00""","1/9/1959, 7:00 PM",1/1/1968,E.T.E.S.A.,8.36666666667,-82.7833333333, ,http://www.hidromet.com.pa/red_nacional.php,303627.1338,925278.569800001,303627.13379999995,925278.5698000006
102-011,Paso Canoas,Chiriquí,Tipo B Convencional,126,"8° 32' 00""","82° 50' 00""","1/11/1971, 7:00 PM",1/2/1977,E.T.E.S.A.,8.53333333333,-82.8333333333, ,http://www.hidromet.com.pa/red_nacional.php,298206.2744,943738.6307,298206.27440000046,943738.6306999996
102-013,Río Sereno,Chiriquí,Tipo C Convencional,900,"8° 49' 00""","82° 52' 00""","1/6/1972, 7:00 PM",1/12/1998,E.T.E.S.A.,8.81666666667,-82.8666666667, ,http://www.hidromet.com.pa/red_nacional.php,294690.1174,975096.2049,294690.1173999999,975096.2049000002
102-014,Canas Gordas,Chiriquí,Tipo C Convencional,1140,"8° 45' 00""","82° 55' 00""","1/6/1972, 7:00 PM", ,E.T.E.S.A.,8.75,-82.9166666667, ,http://www.hidromet.com.pa/red_nacional.php,289151.1192,967749.699200001,289151.1191999996,967749.6992000006
102-015,Brenon,Chiriquí,Tipo C Convencional,700,"8° 38' 00""","82° 49' 00""","1/6/1972, 7:00 PM", ,E.T.E.S.A.,8.63333333333,-82.8166666667, ,http://www.hidromet.com.pa/red_nacional.php,300093.7169,954790.779200001,300093.71690000035,954790.7792000007
102-016,Gomez Arriba,Chiriquí,Tipo C Convencional,380,"8° 34' 00""","82° 44' 00""","1/8/1972, 7:00 PM", ,E.T.E.S.A.,8.56666666667,-82.7333333333, ,http://www.hidromet.com.pa/red_nacional.php,309233.1178,947374.5392,309233.1178000001,947374.5392000005
102-017,Santa Cruz,Chiriquí,Tipo C Convencional,670,"8° 39' 00""","82° 46' 00""","1/8/1972, 7:00 PM", ,E.T.E.S.A.,8.65,-82.7666666667, ,http://www.hidromet.com.pa/red_nacional.php,305605.9685,956608.363500001,305605.9685000004,956608.3635000009
102-018,Hato Volcán,Chiriquí,Tipo C Convencional,1300,"8° 45' 00""","82° 40' 00""","12/31/1925, 7:00 PM",1/12/1935,E.T.E.S.A.,8.75,-82.6666666667, ,http://www.hidromet.com.pa/red_nacional.php,316661.1559,967618.7908,316661.15589999966,967618.7907999996
102-019,Cotito,Chiriquí,Tipo C Automática,1900,"8° 53' 00""","82° 42' 00""","1/2/1977, 7:00 PM", ,E.T.E.S.A.,8.88333333333,-82.7, ,http://www.hidromet.com.pa/red_nacional.php,313060.441,982382.2325,313060.44099999964,982382.2324999999
102-020,Piedra Candela,Chiriquí,Tipo C Convencional,1440,"8° 53' 00""","82° 46' 00""","1/2/1977, 7:00 PM", ,E.T.E.S.A.,8.88333333333,-82.7666666667, ,http://www.hidromet.com.pa/red_nacional.php,305727.2919,982416.5012,305727.2918999996,982416.5011999998
102-021,Cerro Totuma,Chiriquí,Tipo C Convencional,2200,"8° 53' 00""","82° 40' 00""","1/9/1981, 7:00 PM",1/10/1994,E.T.E.S.A.,8.88333333333,-82.6666666667, ,http://www.hidromet.com.pa/red_nacional.php,316726.9239,982365.5932,316726.9238999998,982365.5932
102-022,Frupasa,Chiriquí,Tipo B Convencional,500,"8° 36' 00""","82° 43' 00""","1/3/1982, 7:00 PM",1/7/1984,Frutas Panameñas S.A.,8.6,-82.7166666667, , ,311084.4365,951053.058700001,311084.43649999984,951053.0587000009
102-023,Santa Clara,Chiriquí,Tipo C Convencional,1200,"8° 49' 00""","82° 45' 00""","1/8/1982, 7:00 PM", ,Los Cafetales,8.81666666667,-82.75, , ,307525.9422,975034.090399999,307525.9422000004,975034.0903999992
102-024,Rio Colorado,Chiriquí,Tipo C Convencional,1180,"8° 50' 00""","82° 42' 00""","1/5/1984, 7:00 PM", ,Los Cafetales,8.83333333333,-82.7, , ,313035.166,976852.0798,313035.1660000002,976852.0798000004
102-025,Vivero En Rio Sereno,Chiriquí,Tipo C Convencional,809,"8° 48' 00""","82° 51' 00""","12/31/1985, 7:00 PM",1/5/1987,E.T.E.S.A.,8.8,-82.85, ,http://www.hidromet.com.pa/red_nacional.php,296514.7373,973243.5624,296514.73730000015,973243.5624000002
102-026,Santa Rita,Chiriquí,Tipo B Convencional,10,"8° 20' 00""","82° 43' 00""","1/8/1986, 7:00 PM",10/10/2000,A.N.A.M.,8.33333333333,-82.7166666667,Inactive,http://www.anam.gob.pa,310954.2893,921559.213500001,310954.2893000003,921559.2135000005
102-027,San Benito,Chiriquí,Tipo A Automática,1400,"8° 47' 57""","82° 39' 14""","1/4/1996, 7:00 PM",30/11/2003,E.T.E.S.A.,8.79916666667,-82.6538888889, ,http://www.hidromet.com.pa/red_nacional.php,318091.0818,973050.4298,318091.0817999998,973050.4298
102-029,Sortova,Chiriquí,Tipo A Automática,400,"8° 31' 48""","80° 31' 16""","11/4/2007, 7:00 PM", ,E.T.E.S.A.,8.53,-80.5211111111, ,http://www.hidromet.com.pa/red_nacional.php,552703.3574,942923.6076,552703.3574000001,942923.6075999998
102-030,Caisan Plaza,Chiriquí,Tipo A Automática,940,"8° 31' 48""","80° 31' 16""",, ,E.T.E.S.A.,8.53,-80.5211111111, ,http://www.hidromet.com.pa/red_nacional.php,552703.3574,942923.6076,552703.3574000001,942923.6075999998
102-031,Margarita,Chiriquí,Tipo B Convencional,32,"8° 24' 00""","82° 46' 00""","12/31/1999, 7:00 PM", ,"PUMSA, INC. S.A.",8.4,-82.7666666667, , ,305479.5371,928957.102299999,305479.5371000003,928957.1022999994
102-032,Tadeo,Chiriquí,Tipo B Convencional,44,"8° 24' 01""","82° 46' 01""","12/31/1999, 7:00 PM", ,"PUMSA, INC. S.A.",8.40027777778,-82.7669444444, , ,305449.0812,928987.9637,305449.0811999999,928987.9637000002
103-001,Belen 1,Colón,Tipo C Convencional,3,"8° 52' 00""","80° 52' 00""","1/3/1979, 7:00 PM",1/4/2000,E.T.E.S.A.,8.86666666667,-80.8666666667, ,http://www.hidromet.com.pa/red_nacional.php,514660.5378,980113.8979,514660.53780000005,980113.8979000002
103-002,Belen 2,Colón,Tipo A Automática,10,"8° 52' 59""","80° 82' 09""","6/4/2007, 7:00 PM", ,E.T.E.S.A.,8.88305555556,-81.3691666667, ,http://www.hidromet.com.pa/red_nacional.php,459410.2029,981943.3587,459410.2028999999,981943.3586999997
104-001,Cuesta De Piedra,Chiriquí,Tipo C Convencional,1000,"8° 41' 00""","82° 37' 00""","1/10/1968, 7:00 PM", ,E.T.E.S.A.,8.68333333333,-82.6166666667, ,http://www.hidromet.com.pa/red_nacional.php,322131.2076,960221.615900001,322131.2076000003,960221.6159000006
104-002,Palo Grande,Chiriquí,Tipo C Convencional,5,"8° 20' 00""","82° 36' 00""","1/7/1969, 7:00 PM",1/12/1998,E.T.E.S.A.,8.33333333333,-82.6, ,http://www.hidromet.com.pa/red_nacional.php,323805.3952,921505.290100001,323805.39520000014,921505.2901000008
104-003,La Concepcion 1,Chiriquí,Tipo C Convencional,270,"8° 32' 00""","82° 37' 00""","12/31/1953, 7:00 PM",1/12/1958,E.T.E.S.A.,8.53333333333,-82.6166666667, ,http://www.hidromet.com.pa/red_nacional.php,322061.1247,943632.028200001,322061.1246999996,943632.0282000005
104-004,La Concepcion 2,Chiriquí,Tipo B Convencional,270,"8° 32' 00""","82° 37' 00""","1/3/1971, 7:00 PM",1/11/1981,E.T.E.S.A.,8.53333333333,-82.6166666667, ,http://www.hidromet.com.pa/red_nacional.php,322061.1247,943632.028200001,322061.1246999996,943632.0282000005
104-005,Cantagallo,Chiriquí,Tipo C Convencional,13,"8° 22' 00""","82° 37' 00""","1/8/1976, 7:00 PM",1/2/1984,E.T.E.S.A.,8.36666666667,-82.6166666667, ,http://www.hidromet.com.pa/red_nacional.php,321984.6771,925199.291099999,321984.6771,925199.2910999991
104-007,Santo Tomas,Chiriquí,Tipo C Convencional,10,"8° 23' 00""","82° 39' 00""","1/3/1982, 7:00 PM",1/2/1984,E.T.E.S.A.,8.38333333333,-82.65, ,http://www.hidromet.com.pa/red_nacional.php,318321.0233,927057.820900001,318321.02329999954,927057.8209000006
105-001,Boca de Toabré,Coclé,Tipo C Convencional,170,"8° 55' 00""","80° 33' 00""","1/3/1958, 7:00 PM", ,E.T.E.S.A.,8.91666666667,-80.55, ,http://www.hidromet.com.pa/red_nacional.php,549473.0492,985669.2104,549473.0492000002,985669.2104000002
105-002,Chiguiri Arriba,Coclé,Tipo C Convencional,180,"8° 40' 00""","80° 11' 00""","1/6/1958, 7:00 PM", ,E.T.E.S.A.,8.66666666667,-80.1833333333, ,http://www.hidromet.com.pa/red_nacional.php,589846.6743,958096.5931,589846.6743000001,958096.5931000002
105-003,Coclé del Norte,Colón,Tipo C Convencional,2,"9° 04' 00""","80° 34' 00""","1/3/1969, 7:00 PM", ,E.T.E.S.A.,9.06666666667,-80.5666666667, ,http://www.hidromet.com.pa/red_nacional.php,547621.0765,1002251.0497,547621.0765000004,1002251.0496999994
105-004,Tambo,Coclé,Tipo C Convencional,200,"8° 39' 00""","80° 17' 00""","12/31/1969, 7:00 PM",1/12/1998,E.T.E.S.A.,8.65,-80.2833333333, ,http://www.hidromet.com.pa/red_nacional.php,578847.9208,956231.682600001,578847.9208000004,956231.6826000009
105-005,Toabré,Coclé,Tipo B Convencional,200,"8° 38' 00""","80° 21' 00""","1/1/1970, 7:00 PM", ,E.T.E.S.A.,8.63333333333,-80.35, ,http://www.hidromet.com.pa/red_nacional.php,571516.0537,954375.825999999,571516.0537,954375.8259999994
105-006,Coclesito 1,Colón,Tipo C Convencional,80,"8° 49' 00""","80° 33' 00""","12/31/1971, 7:00 PM",1/12/1982,E.T.E.S.A.,8.81666666667,-80.55, ,http://www.hidromet.com.pa/red_nacional.php,549486.4336,974613.2414,549486.4336000001,974613.2413999997
105-007,San Lucas,Colón,Tipo B Convencional,30,"9° 00' 00""","80° 34' 00""","1/9/1973, 7:00 PM", ,E.T.E.S.A.,9,-80.5666666667, ,http://www.hidromet.com.pa/red_nacional.php,547629.8292,994880.353800001,547629.8291999996,994880.3538000006
105-008,Sabanita Verde,Colón,Tipo C Convencional,100,"8° 49' 00""","80° 21' 00""","1/5/1977, 7:00 PM", ,E.T.E.S.A.,8.81666666667,-80.35, ,http://www.hidromet.com.pa/red_nacional.php,571481.1701,974645.603700001,571481.1700999998,974645.6037000008
105-009,Coclesito,Colón,Tipo B Convencional,60,"8° 49' 00""","80° 33' 00""","1/9/1979, 7:00 PM",20/08/1999,E.T.E.S.A.,8.81666666667,-80.55, ,http://www.hidromet.com.pa/red_nacional.php,549486.4336,974613.2414,549486.4336000001,974613.2413999997
105-010,Santa Ana (OBRE),Coclé,Tipo C Convencional,200,"8° 49' 00""","80° 16' 00""","1/9/1980, 7:00 PM", ,E.T.E.S.A.,8.81666666667,-80.2666666667, ,http://www.hidromet.com.pa/red_nacional.php,580645.8755,974662.562000001,580645.8755000001,974662.5620000008
106-001,Alanje 1,Chiriquí,Tipo C Convencional,55,"8° 26' 00""","82° 33' 00""","12/31/1959, 7:00 PM",31/12/1972,E.T.E.S.A.,8.43333333333,-82.55, ,http://www.hidromet.com.pa/red_nacional.php,329356.4234,932542.607799999,329356.42339999974,932542.6077999994
106-002,Alanje 2,Chiriquí,Tipo B Convencional,32,"8° 20' 37""","82° 33' 35""","1/4/1959, 7:00 PM",1/3/2000,E.T.E.S.A.,8.34361111111,-82.5597222222, ,http://www.hidromet.com.pa/red_nacional.php,328246.4086,922624.2051,328246.40859999973,922624.2050999999
106-003,Santa Rita,Chiriquí,Tipo C Convencional,820,"8° 39' 00""","82° 33' 00""","1/2/1970, 7:00 PM",1/3/1991,E.T.E.S.A.,8.65,-82.55, ,http://www.hidromet.com.pa/red_nacional.php,329452.7283,956504.528000001,329452.7282999996,956504.5280000009
106-004,Macano Arriba,Chiriquí,Tipo C Convencional,520,"8° 37' 00""","82° 35' 00""","1/8/1971, 7:00 PM", ,E.T.E.S.A.,8.61666666667,-82.5833333333, ,http://www.hidromet.com.pa/red_nacional.php,325768.8605,952833.0967,325768.8605000004,952833.0966999996
106-005,Querevalo,Chiriquí,Tipo C Convencional,30,"8° 23' 00""","82° 30' 00""","1/8/1976, 7:00 PM",1/9/1978,E.T.E.S.A.,8.38333333333,-82.5, ,http://www.hidromet.com.pa/red_nacional.php,334841.1139,926991.5953,334841.11390000023,926991.5953000002
106-006,Jarquin,Chiriquí,Tipo C Convencional,18,"8° 23' 00""","82° 33' 00""","1/8/1976, 7:00 PM",1/5/1981,E.T.E.S.A.,8.38333333333,-82.55, ,http://www.hidromet.com.pa/red_nacional.php,329334.5437,927012.968900001,329334.5437000003,927012.9689000007
106-008,Aguacate,Chiriquí,Tipo C Convencional,700,"8° 39' 00""","82° 32' 00""","1/2/1977, 7:00 PM",1/6/1980,E.T.E.S.A.,8.65,-82.5333333333, ,http://www.hidromet.com.pa/red_nacional.php,331286.9932,956497.1033,331286.9932000004,956497.1032999996
106-009,Corozal,Chiriquí,Tipo C Convencional,10,"8° 22' 00""","82° 30' 00""","1/2/1978, 7:00 PM",1/5/1992,E.T.E.S.A.,8.36666666667,-82.5, ,http://www.hidromet.com.pa/red_nacional.php,334834.084,925148.4265,334834.0839999998,925148.4265000001
106-010,La Pita (Ing. de Alanje),Chiriquí,Tipo C Convencional,32,"8° 24' 00""","82° 37' 00""","1/3/1982, 7:00 PM",1/2/1984,E.T.E.S.A.,8.4,-82.6166666667, ,http://www.hidromet.com.pa/red_nacional.php,321999.8468,928885.827,321999.8468000004,928885.8269999996
106-011,Finca de Orquideas,Chiriquí,Tipo B Convencional,1200,"8° 45' 00""","82° 37' 00""","1/5/1985, 7:00 PM",1/10/1994,E.T.E.S.A.,8.75,-82.6166666667, ,http://www.hidromet.com.pa/red_nacional.php,322162.7447,967594.804300001,322162.7446999997,967594.8043000009
106-012,La Martina (Alanje),Chiriquí,Tipo A Automática,0,"8° 20' 37""","82° 33' 35""","1/5/2009, 7:00 PM", ,E.T.E.S.A.,8.34361111111,-82.5597222222, ,http://www.hidromet.com.pa/red_nacional.php,328246.4086,922624.2051,328246.40859999973,922624.2050999999
108-001,Finca Lerida,Chiriquí,Tipo C Convencional,1700,"8° 48' 00""","82° 29' 00""","1/2/1963, 7:00 PM", ,E.T.E.S.A.,8.8,-82.4833333333, ,http://www.hidromet.com.pa/red_nacional.php,336854.8671,973063.9888,336854.8671000004,973063.9888000004
108-002,El Valle,Chiriquí,Tipo C Automática,40,"8° 25' 00""","82° 20' 00""","1/2/1963, 7:00 PM", ,E.T.E.S.A.,8.41666666667,-82.3333333333, ,http://www.hidromet.com.pa/red_nacional.php,353208.0278,930611.502900001,353208.0278000003,930611.5029000007
